delivery_id,part_id,source_warehouse,destination_site,destination_lat,destination_lon,order_date,planned_delivery_date,actual_delivery_date,quantity,transport_mode,delivery_cost,delivery_status,distance_km
DEL000001,SP00196,WH03,Site_D,13.519121,81.614641,2023-01-01,2023-01-02,2023-01-01,10,Express,8171.08,Delivered,561.88
DEL000002,SP00164,WH04,Site_B,24.261593,88.944415,2023-01-01,2023-01-03,2023-01-04,3,Air,6060.58,Delivered,500.04
DEL000003,SP00060,WH04,Site_E,23.181704,87.650673,2023-01-01,2023-01-03,2023-01-02,1,Air,1614.21,Delivered,147.31
DEL000004,SP00200,WH01,Site_E,18.906049,73.942286,2023-01-02,2023-01-03,2023-01-04,7,Express,2016.96,Delivered,141.88
DEL000005,SP00180,WH01,Site_A,20.478442,73.135824,2023-01-02,2023-01-04,2023-01-03,6,Air,6297.88,Delivered,507.62
DEL000006,SP00175,WH05,Site_A,19.210627,74.86211,2023-01-02,2023-01-04,2023-01-06,10,Air,6233.21,Delivered,503.87
DEL000007,SP00191,WH04,Site_C,22.535607,89.470069,2023-01-05,2023-01-06,2023-01-07,10,Express,3234.73,Delivered,205.95
DEL000008,SP00012,WH03,Site_A,11.438748,81.135042,2023-01-05,2023-01-12,2023-01-13,9,Road,1291.22,Delivered,172.18
DEL000009,SP00108,WH03,Site_D,14.787575,79.898964,2023-01-05,2023-01-06,2023-01-05,9,Express,3760.22,Delivered,253.58
DEL000010,SP00018,WH01,Site_E,18.569061,71.355423,2023-01-06,2023-01-07,2023-01-06,1,Express,12093.05,Delivered,794.48
DEL000011,SP00094,WH01,Site_D,21.001531,74.806919,2023-01-07,2023-01-09,2023-01-12,1,Air,9101.46,Delivered,691.14
DEL000012,SP00082,WH03,Site_A,12.690392,81.903453,2023-01-07,2023-01-08,2023-01-09,4,Express,5804.75,Delivered,367.82
DEL000013,SP00112,WH05,Site_D,17.207742,74.024601,2023-01-07,2023-01-14,2023-01-14,10,Road,4937.42,Delivered,641.13
DEL000014,SP00074,WH01,Site_D,19.42787,72.335663,2023-01-07,2023-01-09,2023-01-11,1,Air,9684.87,Delivered,777.05
DEL000015,SP00133,WH01,Site_A,18.630653,73.568981,2023-01-11,2023-01-13,2023-01-16,7,Air,9286.58,Delivered,718.36
DEL000016,SP00118,WH01,Site_A,17.119077,73.724264,2023-01-14,2023-01-17,2023-01-17,10,Road,2657.41,Delivered,315.59
DEL000017,SP00114,WH05,Site_B,19.631036,74.19085,2023-01-15,2023-01-16,2023-01-18,5,Express,4602.22,Delivered,300.75
DEL000018,SP00150,WH02,Site_D,28.953977,78.811667,2023-01-15,2023-01-19,2023-01-19,6,Road,4421.22,Delivered,545.33
DEL000019,SP00088,WH03,Site_E,13.862661,79.344986,2023-01-15,2023-01-16,2023-01-16,8,Express,9210.36,Delivered,569.53
DEL000020,SP00157,WH02,Site_A,28.696149,75.113374,2023-01-15,2023-01-16,2023-01-15,2,Express,7375.06,Delivered,470.87
DEL000021,SP00033,WH03,Site_B,14.268188,80.71112,2023-01-15,2023-01-19,2023-01-19,2,Road,5399.32,Delivered,708.06
DEL000022,SP00102,WH04,Site_B,24.193555,86.413708,2023-01-16,2023-01-17,2023-01-16,8,Express,5988.61,Delivered,398.98
DEL000023,SP00039,WH04,Site_E,22.612162,89.40175,2023-01-18,2023-01-19,2023-01-18,2,Express,7209.89,Delivered,512.21
DEL000024,SP00049,WH05,Site_A,17.211108,72.058747,2023-01-18,2023-01-22,2023-01-22,5,Road,3294.69,Delivered,430.62
DEL000025,SP00017,WH03,Site_A,11.531562,80.233934,2023-01-19,2023-01-21,2023-01-24,7,Air,8164.44,Delivered,632.23
DEL000026,SP00139,WH05,Site_B,17.93343,72.302337,2023-01-19,2023-01-20,2023-01-21,6,Express,10200.65,Delivered,619.16
DEL000027,SP00152,WH03,Site_A,12.261324,78.803145,2023-01-21,2023-01-22,2023-01-24,2,Express,9428.0,Delivered,623.65
DEL000028,SP00084,WH04,Site_B,23.889284,90.301998,2023-01-21,2023-01-22,2023-01-21,8,Express,10317.17,Delivered,688.89
DEL000029,SP00148,WH04,Site_E,21.46926,89.922752,2023-01-22,2023-01-27,2023-01-29,3,Road,730.3,Delivered,94.46
DEL000030,SP00095,WH01,Site_E,17.439524,71.770624,2023-01-22,2023-01-23,2023-01-24,2,Express,3328.66,Delivered,234.45
DEL000031,SP00156,WH03,Site_B,11.735869,78.919714,2023-01-22,2023-01-23,2023-01-24,10,Express,1821.31,Delivered,111.27
DEL000032,SP00029,WH05,Site_A,18.061901,73.663434,2023-01-27,2023-02-02,2023-02-02,9,Road,3898.0,Delivered,525.4
DEL000033,SP00065,WH02,Site_C,26.743531,78.461577,2023-01-28,2023-01-30,2023-02-01,6,Air,6726.23,Delivered,542.32
DEL000034,SP00134,WH01,Site_A,18.631494,74.190222,2023-01-28,2023-02-01,2023-02-02,2,Road,1074.98,Delivered,145.9
DEL000035,SP00029,WH03,Site_C,13.249774,81.025459,2023-01-29,2023-01-31,2023-02-03,1,Air,9625.82,Delivered,787.98
DEL000036,SP00152,WH02,Site_E,27.034579,78.403529,2023-01-29,2023-01-30,2023-02-02,5,Express,3845.58,Delivered,263.98
DEL000037,SP00141,WH03,Site_B,14.72849,80.606499,2023-01-29,2023-01-30,2023-02-01,6,Express,8651.61,Delivered,601.46
DEL000038,SP00100,WH02,Site_B,29.338953,78.156696,2023-01-29,2023-02-03,2023-02-04,2,Road,2110.78,Delivered,266.63
DEL000039,SP00094,WH03,Site_D,12.730403,80.54673,2023-01-29,2023-01-31,2023-02-01,6,Air,5411.76,Delivered,490.1
DEL000040,SP00162,WH05,Site_A,18.202978,75.060554,2023-01-30,2023-02-01,2023-02-04,5,Air,5202.48,Delivered,413.74
DEL000041,SP00191,WH03,Site_D,12.350995,81.083946,2023-01-30,2023-02-06,2023-02-09,5,Road,3385.68,Delivered,433.71
DEL000042,SP00192,WH05,Site_A,20.059516,74.298206,2023-01-30,2023-02-04,2023-02-04,8,Road,6264.85,Delivered,721.3
