transaction_id,part_id,transaction_date,transaction_type,quantity,stock_after_transaction,warehouse_location,reference_doc
TXN000001,SP00074,2023-01-01,Issue,5,18,WH01,REF3185
TXN000002,SP00100,2023-01-01,Issue,5,13,WH04,REF3584
TXN000003,SP00139,2023-01-01,Issue,4,37,WH01,REF1104
TXN000004,SP00055,2023-01-01,Issue,1,47,WH05,REF5648
TXN000005,SP00175,2023-01-01,Issue,4,11,WH02,REF4377
TXN000006,SP00027,2023-01-02,Issue,5,19,WH04,REF7750
TXN000007,SP00082,2023-01-02,Issue,2,3,WH05,REF1616
TXN000008,SP00046,2023-01-02,Issue,4,3,WH05,REF2442
TXN000009,SP00062,2023-01-02,Issue,3,19,WH03,REF7861
TXN000010,SP00140,2023-01-02,Issue,2,30,WH02,REF2925
TXN000011,SP00065,2023-01-03,Receipt,16,26,WH05,REF9315
TXN000012,SP00134,2023-01-03,Issue,2,11,WH03,REF1869
TXN000013,SP00090,2023-01-03,Issue,2,3,WH04,REF9151
TXN000014,SP00117,2023-01-03,Issue,1,51,WH01,REF6966
TXN000015,SP00095,2023-01-03,Issue,4,18,WH03,REF6477
TXN000016,SP00132,2023-01-03,Issue,4,18,WH01,REF2710
TXN000017,SP00199,2023-01-03,Receipt,10,20,WH02,REF1476
TXN000018,SP00164,2023-01-03,Issue,1,21,WH01,REF4855
TXN000019,SP00181,2023-01-03,Receipt,15,36,WH04,REF4256
TXN000020,SP00037,2023-01-03,Receipt,15,28,WH02,REF2804
TXN000021,SP00152,2023-01-03,Issue,1,25,WH02,REF7759
TXN000022,SP00188,2023-01-04,Issue,2,5,WH01,REF8716
TXN000023,SP00168,2023-01-04,Issue,1,12,WH04,REF3374
TXN000024,SP00187,2023-01-04,Issue,5,15,WH04,REF3917
TXN000025,SP00117,2023-01-04,Issue,2,49,WH04,REF4181
TXN000026,SP00109,2023-01-04,Issue,3,9,WH02,REF6503
TXN000027,SP00004,2023-01-04,Issue,5,1,WH01,REF5597
TXN000028,SP00166,2023-01-05,Issue,4,55,WH04,REF7852
TXN000029,SP00189,2023-01-05,Issue,3,1,WH02,REF5835
TXN000030,SP00049,2023-01-05,Issue,5,11,WH02,REF4763
