transaction_id,transaction_date,part_id,part_name,transaction_type,quantity,unit_cost,total_cost,batch_id
PUR000001,2022-01-02,SP00001,Sensor Type-1,Purchase,24,982.51,23580.33,BATCH00001
PUR000002,2022-01-07,SP00001,Sensor Type-1,Purchase,49,1026.54,50300.7,BATCH00002
PUR000003,2022-08-06,SP00001,Sensor Type-1,Purchase,40,986.35,39453.96,BATCH00003
PUR000004,2022-08-17,SP00001,Sensor Type-1,Purchase,20,1052.56,21051.12,BATCH00004
PUR000005,2022-11-10,SP00001,Sensor Type-1,Purchase,72,983.17,70788.31,BATCH00005
PUR000006,2022-11-20,SP00001,Sensor Type-1,Purchase,78,1059.47,82638.86,BATCH00006
PUR000007,2022-11-27,SP00001,Sensor Type-1,Purchase,26,1055.29,27437.44,BATCH00007
PUR000008,2023-01-01,SP00001,Sensor Type-1,Purchase,80,1049.17,83933.77,BATCH00008
PUR000009,2023-02-12,SP00001,Sensor Type-1,Purchase,77,1003.56,77274.31,BATCH00009
PUR000010,2023-06-24,SP00001,Sensor Type-1,Purchase,64,1095.45,70108.84,BATCH00010
PUR000011,2023-08-25,SP00001,Sensor Type-1,Purchase,79,1113.9,87998.13,BATCH00011
PUR000012,2023-09-04,SP00001,Sensor Type-1,Purchase,98,1093.02,107116.37,BATCH00012
PUR000013,2023-10-26,SP00001,Sensor Type-1,Purchase,49,1040.76,50997.35,BATCH00013
PUR000014,2023-11-28,SP00001,Sensor Type-1,Purchase,95,1066.39,101306.87,BATCH00014
PUR000015,2024-02-05,SP00001,Sensor Type-1,Purchase,66,1102.85,72788.14,BATCH00015
PUR000016,2024-06-09,SP00001,Sensor Type-1,Purchase,67,1147.5,76882.49,BATCH00016
PUR000017,2024-07-18,SP00001,Sensor Type-1,Purchase,38,1066.64,40532.42,BATCH00017
PUR000018,2024-10-22,SP00001,Sensor Type-1,Purchase,12,1072.7,12872.35,BATCH00018
PUR000019,2024-11-05,SP00001,Sensor Type-1,Purchase,39,1133.4,44202.66,BATCH00019
PUR000020,2024-12-22,SP00001,Sensor Type-1,Purchase,10,1139.8,11398.05,BATCH00020
PUR000021,2022-03-06,SP00002,Valve Type-2,Purchase,83,456.06,37853.01,BATCH00021
PUR000022,2022-05-01,SP00002,Valve Type-2,Purchase,41,461.22,18910.07,BATCH00022
PUR000023,2022-05-19,SP00002,Valve Type-2,Purchase,62,471.9,29257.96,BATCH00023
PUR000024,2022-05-26,SP00002,Valve Type-2,Purchase,22,445.06,9791.24,BATCH00024
PUR000025,2023-03-15,SP00002,Valve Type-2,Purchase,55,484.94,26671.64,BATCH00025
PUR000026,2023-04-14,SP00002,Valve Type-2,Purchase,69,475.54,32812.15,BATCH00026
PUR000027,2023-05-03,SP00002,Valve Type-2,Purchase,16,497.85,7965.6,BATCH00027
PUR000028,2023-07-25,SP00002,Valve Type-2,Purchase,92,493.91,45439.67,BATCH00028
PUR000029,2023-11-08,SP00002,Valve Type-2,Purchase,61,472.27,28808.63,BATCH00029
PUR000030,2024-09-21,SP00002,Valve Type-2,Purchase,23,523.33,12036.48,BATCH00030
PUR000031,2024-11-18,SP00002,Valve Type-2,Purchase,34,502.28,17077.42,BATCH00031
PUR000032,2022-01-31,SP00003,Wire Type-3,Purchase,61,872.57,53226.94,BATCH00032
PUR000033,2022-04-14,SP00003,Wire Type-3,Purchase,31,943.74,29256.05,BATCH00033
PUR000034,2022-06-04,SP00003,Wire Type-3,Purchase,59,902.43,53243.19,BATCH00034
PUR000035,2022-07-11,SP00003,Wire Type-3,Purchase,68,896.46,60959.43,BATCH00035
PUR000036,2022-07-20,SP00003,Wire Type-3,Purchase,99,899.38,89038.79,BATCH00036
PUR000037,2022-10-15,SP00003,Wire Type-3,Purchase,81,972.3,78756.48,BATCH00037
PUR000038,2022-12-07,SP00003,Wire Type-3,Purchase,72,951.43,68503.13,BATCH00038
PUR000039,2023-01-11,SP00003,Wire Type-3,Purchase,47,908.1,42680.58,BATCH00039
PUR000040,2023-04-30,SP00003,Wire Type-3,Purchase,17,926.99,15758.91,BATCH00040
PUR000041,2023-05-27,SP00003,Wire Type-3,Purchase,79,964.81,76220.16,BATCH00041
PUR000042,2023-07-25,SP00003,Wire Type-3,Purchase,50,922.12,46105.95,BATCH00042
PUR000043,2024-04-12,SP00003,Wire Type-3,Purchase,84,952.44,80004.91,BATCH00043
PUR000044,2024-05-14,SP00003,Wire Type-3,Purchase,77,998.17,76859.11,BATCH00044
PUR000045,2024-06-26,SP00003,Wire Type-3,Purchase,75,971.31,72848.11,BATCH00045
PUR000046,2024-07-07,SP00003,Wire Type-3,Purchase,33,964.82,31839.15,BATCH00046
PUR000047,2024-08-05,SP00003,Wire Type-3,Purchase,18,967.06,17407.01,BATCH00047
PUR000048,2024-09-12,SP00003,Wire Type-3,Purchase,40,1033.11,41324.43,BATCH00048
PUR000049,2024-09-21,SP00003,Wire Type-3,Purchase,82,1006.64,82544.77,BATCH00049
PUR000050,2022-03-23,SP00004,Sensor Type-4,Purchase,19,434.94,8263.77,BATCH00050
PUR000051,2022-06-17,SP00004,Sensor Type-4,Purchase,89,420.21,37398.69,BATCH00051
PUR000052,2022-09-26,SP00004,Sensor Type-4,Purchase,22,470.19,10344.28,BATCH00052
PUR000053,2023-02-23,SP00004,Sensor Type-4,Purchase,37,437.26,16178.47,BATCH00053
PUR000054,2023-05-04,SP00004,Sensor Type-4,Purchase,26,461.16,11990.18,BATCH00054
PUR000055,2023-06-19,SP00004,Sensor Type-4,Purchase,18,483.7,8706.57,BATCH00055
PUR000056,2023-06-28,SP00004,Sensor Type-4,Purchase,57,481.75,27459.64,BATCH00056
PUR000057,2023-09-07,SP00004,Sensor Type-4,Purchase,66,458.28,30246.23,BATCH00057
PUR000058,2023-10-06,SP00004,Sensor Type-4,Purchase,100,485.75,48575.05,BATCH00058
PUR000059,2023-10-10,SP00004,Sensor Type-4,Purchase,93,461.01,42874.07,BATCH00059
PUR000060,2024-03-21,SP00004,Sensor Type-4,Purchase,95,481.33,45726.76,BATCH00060
PUR000061,2024-05-08,SP00004,Sensor Type-4,Purchase,48,498.1,23908.58,BATCH00061
PUR000062,2024-12-06,SP00004,Sensor Type-4,Purchase,23,516.72,11884.52,BATCH00062
PUR000063,2022-08-08,SP00005,Bearing Type-5,Purchase,16,193.44,3095.05,BATCH00063
PUR000064,2022-08-25,SP00005,Bearing Type-5,Purchase,64,190.72,12206.1,BATCH00064
PUR000065,2022-11-15,SP00005,Bearing Type-5,Purchase,15,207.61,3114.14,BATCH00065
PUR000066,2023-02-21,SP00005,Bearing Type-5,Purchase,26,193.47,5030.19,BATCH00066
PUR000067,2023-03-08,SP00005,Bearing Type-5,Purchase,43,206.77,8891.03,BATCH00067
PUR000068,2023-06-25,SP00005,Bearing Type-5,Purchase,66,199.85,13189.9,BATCH00068
PUR000069,2023-06-26,SP00005,Bearing Type-5,Purchase,64,207.94,13308.33,BATCH00069
PUR000070,2023-07-12,SP00005,Bearing Type-5,Purchase,24,208.56,5005.4,BATCH00070
PUR000071,2023-08-01,SP00005,Bearing Type-5,Purchase,98,199.0,19501.6,BATCH00071
PUR000072,2023-12-04,SP00005,Bearing Type-5,Purchase,79,219.65,17352.28,BATCH00072
PUR000073,2024-09-27,SP00005,Bearing Type-5,Purchase,57,208.82,11902.93,BATCH00073
PUR000074,2024-11-01,SP00005,Bearing Type-5,Purchase,28,221.72,6208.2,BATCH00074
PUR000075,2022-03-23,SP00006,Wire Type-6,Purchase,52,165.7,8616.5,BATCH00075
PUR000076,2022-03-27,SP00006,Wire Type-6,Purchase,62,178.98,11096.68,BATCH00076
PUR000077,2022-07-30,SP00006,Wire Type-6,Purchase,41,182.36,7476.74,BATCH00077
PUR000078,2022-09-19,SP00006,Wire Type-6,Purchase,99,174.06,17231.54,BATCH00078
PUR000079,2022-11-13,SP00006,Wire Type-6,Purchase,14,172.47,2414.62,BATCH00079
PUR000080,2022-11-29,SP00006,Wire Type-6,Purchase,38,186.34,7080.76,BATCH00080
