defect_id,defect_date,equipment_id,equipment_type,defect_type,severity,root_cause_category,root_cause,rework_cost,rework_hours,detected_at,status
DEF000001,2023-08-28,EQ0043,Excavator,Dimensional Variance,Minor,Material,Material Contamination,1361.33,2.83,Final Inspection,Open
DEF000002,2022-02-12,EQ0039,Bulldozer,Weld Defect,Minor,Environment,Vibration,1490.58,1.79,Final Inspection,Open
DEF000003,2022-08-02,EQ0011,Bulldozer,Paint Finish,Minor,Method,Process Not Followed,347.9,3.56,Customer,Closed
DEF000004,2022-11-17,EQ0006,Dump Truck,Paint Finish,Minor,Man,Operator Error,1563.78,3.53,Final Inspection,Open
DEF000005,2024-01-26,EQ0022,Excavator,Paint Finish,Minor,Environment,Temperature Variation,728.9,3.86,Customer,Open
DEF000006,2024-08-20,EQ0023,Loader,Paint Finish,Minor,Measurement,Calibration Issue,703.62,1.52,Customer,Open
DEF000007,2023-04-08,EQ0036,Bulldozer,Dimensional Variance,Minor,Machine,Calibration Drift,1200.96,2.25,Final Inspection,Closed
DEF000008,2022-10-02,EQ0006,Dump Truck,Hydraulic Leak,Minor,Man,Insufficient Training,310.75,2.91,Customer,Closed
DEF000009,2022-04-28,EQ0028,Crane,Calibration Error,Major,Material,Substandard Material,2432.48,4.16,Customer,In Progress
DEF000010,2023-10-08,EQ0003,Excavator,Bolt Torque,Major,Man,Operator Error,6099.16,10.07,In-Process,Closed
DEF000011,2024-07-20,EQ0040,Crane,Hydraulic Leak,Minor,Measurement,Gauge Error,1617.27,2.41,In-Process,Closed
DEF000012,2022-07-07,EQ0043,Excavator,Electrical Fault,Major,Material,Substandard Material,2517.48,6.05,In-Process,Closed
DEF000013,2022-03-13,EQ0014,Bulldozer,Dimensional Variance,Minor,Measurement,Wrong Instrument,1852.63,2.64,Final Inspection,Closed
DEF000014,2022-07-15,EQ0001,Grader,Hydraulic Leak,Minor,Measurement,Gauge Error,932.96,2.43,In-Process,Open
DEF000015,2023-03-04,EQ0002,Grader,Surface Scratch,Minor,Method,Incorrect Procedure,252.92,0.87,Customer,Open
DEF000016,2024-12-08,EQ0046,Excavator,Alignment Issue,Major,Environment,Humidity,3641.04,6.72,Final Inspection,Closed
DEF000017,2023-08-04,EQ0010,Excavator,Surface Scratch,Minor,Man,Fatigue,1928.66,3.68,Customer,Open
DEF000018,2024-03-13,EQ0009,Dump Truck,Paint Finish,Minor,Material,Wrong Specification,441.07,0.7,In-Process,Open
DEF000019,2024-12-13,EQ0005,Loader,Electrical Fault,Minor,Machine,Calibration Drift,395.94,1.52,Customer,Closed
DEF000020,2023-12-04,EQ0023,Loader,Surface Scratch,Minor,Machine,Equipment Malfunction,1561.74,1.93,In-Process,Open
DEF000021,2024-11-01,EQ0027,Dump Truck,Weld Defect,Major,Man,Operator Error,2925.14,5.38,Final Inspection,Open
DEF000022,2023-08-26,EQ0034,Bulldozer,Weld Defect,Minor,Material,Wrong Specification,1893.2,0.65,In-Process,In Progress
DEF000023,2023-05-02,EQ0043,Excavator,Hydraulic Leak,Major,Man,Fatigue,4047.6,9.91,Customer,Open
DEF000024,2022-08-27,EQ0027,Dump Truck,Dimensional Variance,Minor,Machine,Tool Wear,1723.77,3.79,Customer,Open
DEF000025,2024-01-10,EQ0028,Crane,Paint Finish,Minor,Man,Insufficient Training,359.08,3.55,In-Process,Closed
DEF000026,2024-07-22,EQ0045,Crane,Weld Defect,Minor,Machine,Calibration Drift,583.14,3.83,Final Inspection,In Progress
DEF000027,2022-04-17,EQ0016,Dump Truck,Surface Scratch,Minor,Method,Inadequate Work Instruction,530.13,2.5,Final Inspection,Closed
DEF000028,2022-10-20,EQ0038,Loader,Electrical Fault,Minor,Man,Operator Error,1696.5,1.52,In-Process,In Progress
DEF000029,2022-01-11,EQ0018,Grader,Dimensional Variance,Minor,Machine,Calibration Drift,1604.44,1.7,Customer,Closed
DEF000030,2024-12-18,EQ0015,Bulldozer,Weld Defect,Critical,Environment,Temperature Variation,9674.95,19.98,In-Process,Open
DEF000031,2024-01-29,EQ0016,Dump Truck,Hydraulic Leak,Minor,Material,Wrong Specification,1290.23,0.67,Customer,Closed
DEF000032,2022-05-13,EQ0037,Dump Truck,Surface Scratch,Major,Method,Process Not Followed,2272.45,2.16,Customer,Open
DEF000033,2024-04-05,EQ0013,Grader,Dimensional Variance,Minor,Measurement,Calibration Issue,1322.8,2.69,Final Inspection,Closed
DEF000034,2023-08-31,EQ0015,Bulldozer,Surface Scratch,Minor,Environment,Vibration,1567.09,3.11,Final Inspection,Open
DEF000035,2024-12-05,EQ0018,Grader,Paint Finish,Minor,Measurement,Gauge Error,859.12,1.84,In-Process,In Progress
DEF000036,2022-07-30,EQ0045,Crane,Paint Finish,Minor,Machine,Tool Wear,1797.21,2.49,In-Process,Open
DEF000037,2023-01-14,EQ0043,Excavator,Surface Scratch,Minor,Method,Process Not Followed,601.45,3.23,Customer,Closed
DEF000038,2022-04-23,EQ0050,Loader,Paint Finish,Minor,Method,Inadequate Work Instruction,1982.04,2.16,In-Process,Closed
DEF000039,2024-05-05,EQ0043,Excavator,Seal Failure,Critical,Material,Wrong Specification,13839.79,31.98,Customer,Open
DEF000040,2024-11-30,EQ0047,Grader,Electrical Fault,Major,Environment,Temperature Variation,5637.8,11.08,Customer,Open
DEF000041,2022-02-05,EQ0017,Loader,Surface Scratch,Minor,Method,Inadequate Work Instruction,1690.42,3.64,In-Process,Open
DEF000042,2024-06-08,EQ0016,Dump Truck,Paint Finish,Minor,Measurement,Wrong Instrument,1728.15,1.02,Customer,Closed
DEF000043,2022-10-28,EQ0001,Grader,Paint Finish,Major,Method,Process Not Followed,6485.21,5.82,Final Inspection,Closed
DEF000044,2022-05-30,EQ0022,Excavator,Alignment Issue,Major,Man,Fatigue,4932.56,10.09,Customer,Open
DEF000045,2023-01-25,EQ0024,Dump Truck,Surface Scratch,Minor,Man,Insufficient Training,806.33,3.73,In-Process,In Progress
DEF000046,2024-03-27,EQ0014,Bulldozer,Hydraulic Leak,Major,Measurement,Wrong Instrument,6573.98,5.11,Customer,Open
DEF000047,2022-03-02,EQ0031,Loader,Surface Scratch,Major,Environment,Vibration,6266.33,2.01,Final Inspection,Closed
DEF000048,2024-03-11,EQ0010,Excavator,Alignment Issue,Minor,Method,Inadequate Work Instruction,1997.2,0.91,In-Process,Open
DEF000049,2022-06-16,EQ0037,Dump Truck,Electrical Fault,Minor,Man,Operator Error,802.71,3.89,In-Process,Closed
DEF000050,2024-12-16,EQ0047,Grader,Weld Defect,Minor,Man,Fatigue,344.19,2.7,Final Inspection,Open
DEF000051,2024-07-17,EQ0040,Crane,Paint Finish,Major,Measurement,Wrong Instrument,5406.76,3.96,Customer,Closed
DEF000052,2022-10-22,EQ0002,Grader,Weld Defect,Minor,Method,Process Not Followed,1347.51,1.45,Final Inspection,Closed
DEF000053,2023-07-31,EQ0021,Excavator,Paint Finish,Major,Environment,Humidity,7600.52,10.85,Final Inspection,Closed
DEF000054,2022-09-24,EQ0020,Crane,Hydraulic Leak,Major,Method,Inadequate Work Instruction,4888.25,2.92,Customer,Closed
DEF000055,2024-02-27,EQ0025,Excavator,Alignment Issue,Minor,Man,Insufficient Training,1217.76,3.76,In-Process,Closed
DEF000056,2024-12-09,EQ0014,Bulldozer,Electrical Fault,Major,Method,Incorrect Procedure,7792.08,3.98,In-Process,Open
DEF000057,2023-10-06,EQ0031,Loader,Paint Finish,Minor,Method,Incorrect Procedure,564.71,3.71,Final Inspection,Closed
DEF000058,2022-06-12,EQ0001,Grader,Hydraulic Leak,Major,Environment,Temperature Variation,7972.78,11.08,In-Process,Closed
DEF000059,2022-12-01,EQ0015,Bulldozer,Weld Defect,Major,Measurement,Calibration Issue,6252.36,4.38,Final Inspection,Open
DEF000060,2024-08-15,EQ0032,Grader,Hydraulic Leak,Minor,Machine,Calibration Drift,820.94,0.92,In-Process,Closed
DEF000061,2023-08-31,EQ0029,Bulldozer,Paint Finish,Minor,Measurement,Wrong Instrument,1506.78,1.09,In-Process,Open
DEF000062,2024-03-21,EQ0037,Dump Truck,Paint Finish,Critical,Material,Substandard Material,21349.23,21.8,In-Process,Closed
DEF000063,2023-02-24,EQ0028,Crane,Electrical Fault,Minor,Machine,Calibration Drift,917.05,2.37,Customer,Closed
DEF000064,2024-11-17,EQ0038,Loader,Weld Defect,Major,Man,Insufficient Training,1098.09,3.61,Customer,Closed
DEF000065,2023-01-09,EQ0001,Grader,Weld Defect,Major,Machine,Equipment Malfunction,4635.97,11.74,Customer,In Progress
DEF000066,2024-10-03,EQ0018,Grader,Dimensional Variance,Minor,Machine,Equipment Malfunction,988.28,3.15,In-Process,Open
DEF000067,2024-11-21,EQ0049,Excavator,Weld Defect,Minor,Machine,Equipment Malfunction,773.19,0.6,Final Inspection,Closed
DEF000068,2022-02-16,EQ0048,Bulldozer,Hydraulic Leak,Minor,Method,Inadequate Work Instruction,1180.28,2.73,In-Process,Closed
DEF000069,2024-09-06,EQ0042,Bulldozer,Electrical Fault,Major,Method,Inadequate Work Instruction,7567.36,4.36,In-Process,Open
DEF000070,2024-01-18,EQ0047,Grader,Dimensional Variance,Minor,Machine,Tool Wear,458.53,2.81,In-Process,Closed
DEF000071,2023-12-17,EQ0011,Bulldozer,Paint Finish,Major,Environment,Humidity,7945.06,8.79,In-Process,In Progress
DEF000072,2024-07-05,EQ0008,Excavator,Material Defect,Minor,Man,Fatigue,928.88,1.03,Customer,Open
DEF000073,2022-05-29,EQ0043,Excavator,Seal Failure,Critical,Measurement,Gauge Error,16357.34,39.01,Customer,Closed
DEF000074,2024-12-30,EQ0033,Grader,Dimensional Variance,Major,Material,Wrong Specification,4009.73,8.09,In-Process,Open
DEF000075,2022-09-17,EQ0024,Dump Truck,Bolt Torque,Critical,Measurement,Calibration Issue,11617.63,9.09,Customer,Open
DEF000076,2024-06-06,EQ0036,Bulldozer,Seal Failure,Minor,Material,Wrong Specification,1444.53,2.28,In-Process,In Progress
DEF000077,2023-11-23,EQ0039,Bulldozer,Surface Scratch,Minor,Man,Insufficient Training,1196.37,0.73,Final Inspection,Closed
DEF000078,2024-11-05,EQ0010,Excavator,Hydraulic Leak,Minor,Method,Incorrect Procedure,1843.25,2.93,Final Inspection,Open
DEF000079,2023-04-27,EQ0015,Bulldozer,Bolt Torque,Minor,Environment,Temperature Variation,902.89,1.19,In-Process,Closed
DEF000080,2024-07-14,EQ0010,Excavator,Paint Finish,Minor,Environment,Vibration,1934.34,0.72,Final Inspection,Closed
DEF000081,2024-12-25,EQ0036,Bulldozer,Hydraulic Leak,Minor,Method,Inadequate Work Instruction,1742.64,2.51,Final Inspection,Closed
DEF000082,2022-11-12,EQ0032,Grader,Surface Scratch,Major,Environment,Temperature Variation,4612.82,3.96,Customer,Closed
DEF000083,2023-10-14,EQ0038,Loader,Electrical Fault,Critical,Machine,Calibration Drift,17870.99,29.83,In-Process,Closed
DEF000084,2023-07-06,EQ0001,Grader,Bolt Torque,Minor,Method,Process Not Followed,1762.02,3.14,Customer,Closed
DEF000085,2023-11-11,EQ0045,Crane,Electrical Fault,Minor,Material,Wrong Specification,255.14,0.94,In-Process,Closed
DEF000086,2023-12-03,EQ0046,Excavator,Surface Scratch,Major,Method,Inadequate Work Instruction,2277.89,7.24,Final Inspection,Open
DEF000087,2022-10-15,EQ0032,Grader,Paint Finish,Minor,Environment,Temperature Variation,729.49,2.73,Customer,Closed
DEF000088,2023-07-06,EQ0042,Bulldozer,Dimensional Variance,Minor,Measurement,Calibration Issue,599.95,3.79,In-Process,In Progress
DEF000089,2024-04-09,EQ0017,Loader,Weld Defect,Major,Measurement,Wrong Instrument,5763.71,5.28,Customer,Closed
DEF000090,2022-12-31,EQ0047,Grader,Alignment Issue,Minor,Method,Inadequate Work Instruction,501.82,2.51,In-Process,Closed
DEF000091,2023-04-01,EQ0012,Dump Truck,Paint Finish,Minor,Measurement,Gauge Error,1435.59,0.86,Customer,Closed
DEF000092,2024-03-12,EQ0026,Grader,Paint Finish,Critical,Method,Inadequate Work Instruction,17916.42,24.61,Final Inspection,Open
DEF000093,2023-10-19,EQ0037,Dump Truck,Dimensional Variance,Minor,Man,Operator Error,717.15,1.42,Final Inspection,Closed
DEF000094,2022-09-03,EQ0039,Bulldozer,Bolt Torque,Minor,Man,Insufficient Training,1683.79,0.76,Customer,Closed
DEF000095,2022-12-04,EQ0006,Dump Truck,Weld Defect,Minor,Material,Substandard Material,1468.44,2.54,In-Process,In Progress
DEF000096,2023-03-07,EQ0042,Bulldozer,Paint Finish,Major,Material,Substandard Material,3055.55,3.08,In-Process,Open
DEF000097,2022-12-22,EQ0008,Excavator,Paint Finish,Minor,Measurement,Gauge Error,1671.57,2.17,In-Process,Closed
DEF000098,2024-07-05,EQ0018,Grader,Surface Scratch,Critical,Machine,Equipment Malfunction,24196.0,16.5,Customer,Open
DEF000099,2023-08-04,EQ0034,Bulldozer,Assembly Error,Minor,Method,Process Not Followed,263.35,1.74,Customer,Closed
DEF000100,2022-09-07,EQ0013,Grader,Electrical Fault,Minor,Machine,Calibration Drift,1210.67,2.62,In-Process,In Progress
DEF000101,2024-01-10,EQ0041,Dump Truck,Weld Defect,Minor,Material,Material Contamination,1148.21,3.5,In-Process,Open
DEF000102,2023-11-09,EQ0027,Dump Truck,Hydraulic Leak,Minor,Material,Wrong Specification,1596.55,1.96,Customer,Closed
