inspection_id,inspection_date,equipment_id,equipment_name,equipment_type,metric_name,target_value,tolerance,xbar_value,r_value,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,in_control
SPC000001,2022-08-17,EQ0014,Bulldozer 14,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,2992.48,86.36,2992.99,2998.34,2962.55,2961.08,3047.44,True
SPC000002,2023-05-17,EQ0042,Bulldozer 42,Bulldozer,Weld Strength (MPa),450,30.0,453.48,24.2,465.81,441.61,446.91,453.31,459.76,True
SPC000003,2022-07-29,EQ0008,Excavator 8,Excavator,Alignment Deviation (mm),0,0.5,0.06,0.28,0.04,0.05,0.23,0.03,-0.05,True
SPC000004,2024-05-14,EQ0010,Excavator 10,Excavator,Hydraulic Pressure (PSI),3000,150.0,2980.89,99.75,3033.66,2961.87,3008.43,2933.91,2966.59,True
SPC000005,2023-03-24,EQ0014,Bulldozer 14,Bulldozer,Weld Strength (MPa),450,30.0,447.02,18.42,437.63,436.8,455.22,452.97,452.5,True
SPC000006,2022-02-24,EQ0037,Dump Truck 37,Dump Truck,Alignment Deviation (mm),0,0.5,0.01,0.3,0.06,-0.18,0.08,-0.04,0.12,True
SPC000007,2024-05-09,EQ0006,Dump Truck 6,Dump Truck,Weld Strength (MPa),450,30.0,449.92,28.03,450.68,445.91,468.9,443.24,440.87,True
SPC000008,2023-07-24,EQ0036,Bulldozer 36,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,2974.36,70.63,2977.25,2940.82,3011.45,2983.03,2959.24,True
SPC000009,2022-11-23,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,198.37,4.52,201.4,196.89,198.96,197.53,197.05,True
SPC000010,2022-11-15,EQ0048,Bulldozer 48,Bulldozer,Weld Strength (MPa),450,30.0,490.08,5.34,490.47,493.56,489.9,488.22,488.26,False
SPC000011,2024-01-06,EQ0015,Bulldozer 15,Bulldozer,Paint Thickness (microns),120,10.0,122.72,3.73,125.3,121.57,122.16,121.79,122.8,True
SPC000012,2022-03-30,EQ0013,Grader 13,Grader,Bolt Torque (Nm),200,15.0,199.38,16.94,205.67,198.38,191.7,208.64,192.54,True
SPC000013,2024-02-15,EQ0040,Crane 40,Crane,Hydraulic Pressure (PSI),3000,150.0,3001.36,88.96,2946.62,2992.88,3006.01,3025.72,3035.58,True
SPC000014,2024-01-11,EQ0037,Dump Truck 37,Dump Truck,Alignment Deviation (mm),0,0.5,-0.08,0.45,-0.19,-0.25,0.2,0.06,-0.23,True
SPC000015,2022-05-23,EQ0015,Bulldozer 15,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,2995.27,79.39,3042.57,2968.98,2963.18,3028.98,2972.64,True
SPC000016,2023-08-16,EQ0027,Dump Truck 27,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,3007.72,165.4,2938.6,3046.31,3095.47,2930.07,3028.15,True
SPC000017,2022-07-26,EQ0034,Bulldozer 34,Bulldozer,Bolt Torque (Nm),200,15.0,201.58,5.48,198.93,200.69,203.82,200.05,204.41,True
SPC000018,2024-01-18,EQ0042,Bulldozer 42,Bulldozer,Weld Strength (MPa),450,30.0,446.02,23.38,433.15,456.53,437.09,447.26,456.08,True
SPC000019,2023-03-06,EQ0012,Dump Truck 12,Dump Truck,Paint Thickness (microns),120,10.0,120.96,8.5,122.2,116.97,125.47,119.87,120.29,True
SPC000020,2022-05-27,EQ0007,Crane 7,Crane,Alignment Deviation (mm),0,0.5,-0.07,0.23,-0.16,-0.1,-0.08,0.07,-0.06,True
